id;title;;;
20381460;Czy jest szansa na znalezienie ciężarówki pełnej złota w Żarskiej Wsi koło Zgorzelca? Teren sprawdził znany nurek;;;
20381459;Wiącek czy Staroń, opozycja czy PiS? Dziś piąta próba wyboru rzecznika praw obywatelskich;;;
20381458;Przemówienie prezydenta Andrzeja Dudy na konferencji GLOBSEC;;;
20381457;„Bezpieczeństwo to inwestycja”. Prezydent Duda na konferencji GLOBSEC;;;
20381456;Agresywny bóbr rzucił się do szyi krowy. Jest nagranie;;;
20381455;Zapytano Amerykanów, czy zgodziliby się wziąć tabletkę nieśmiertelności;;;
20381454;Zdenerwowany Robert Lewandowski po meczu ze Słowacją;;;
20381453;Masowe protesty w kontynentalnych Chinach i dlaczego jest o nich tak cicho;;;
20381452;Moja Pierwsza Gra została wydana na Steam - Yerba Mate Tycoon;;;
20381451;"Kradł pokrywy od studzienek na trasie S8. Nieoficjalnie: To pierwowzór głównego bohatera filmu ""Boże Ciało""";;;
20381450;Atak hakerów na skrzynkę Dworczyka. Ruszyło śledztwo prokuratury;;;
20381449;"FOTO: Tak prezentuje się serial dla dzieci ""Star Trek: Prodigy""";;;
20381448;"FOTO: Dakota Johnson, Henry Golding na zdjęciach z ""Perswazji""";;;
20381447;GIF: wycofanie serii flutykazonu propionianu w postaci do nebulizacji;;;
20381446;HCC2021. Dzień drugi: przemysł farmaceutyczny i polityka lekowa;;;
20381445;KE: szczepienie powinno zwalniać w podróży z testów i kwarantanny;;;
20381444;Policjanci pomogli kobiecie, która utknęła z chorym dzieckiem w korku na ekspresówce;;;
20381443;Pomoc przyszła w ostatniej chwili;;;
20381442;Policjanci pospieszyli z pomocą;;;
20381441;Podziemnymi tunelami dostali się do kościoła. Dzięki policjantom już są zatrzymani;;;
20381440;Zaginęła 14-letnia Nikola Kałat;;;
20381439;XXXI Międzynarodowe Mistrzostwa Polski Master w Podnoszeniu Ciężarów zakończone wielkim sukcesem funkcjonariusza gdańskiej drogówki;;;
20381438;Policjanci wspólnie z żołnierzem i strażakiem uczestniczyli w akcji ratunkowej;;;
20381437;Złodzieje samochodów zatrzymani przez kartuskich policjantów;;;
20381436;Policjanci uratowali mężczyznę przed utonięciem;;;
20381435;Policjanci odzyskali pieniądze i kosztowności o łącznej wartości ponad 90 tys. złotych;;;
20381434;Białostocki policjant mistrzem Polski w brazylijskim Jiu-Jitsu;;;
