id;title;;;
2128073;«Неизвестность убивает». Как знаменитая фигуристка из СССР оказалась в отчаянном положении;;;
2128072;Подробности о часах Apple Watch Series 7, которые должны показать в этом году;;;
2128071;В Подмосковье отменили школьные выпускные из-за коронавируса;;;
2128070;Госдума приняла во II чтении законопроект об ужесточении требований к потребкредитованию;;;
2128069;"Рогозин сообщил, что обработка данных с обсерватории ""Спектр-РГ"" займет до трех лет";;;
2128068;Госдума приняла закон об отмене репатриации валютной выручки для несырьевых экспортеров;;;
2128067;УЕФА начал расследование в отношении Арнаутовича после его высказываний в матче Евро;;;
2128066;"Сборка первого совместного спутника ДЗЗ ""Газпрома"" и Роскосмоса начнется в 2022 году";;;
2128065;В Грозном открыли жилой комплекс для переселения из аварийных домов более 300 семей;;;
2128064;Прокуратура потребовала ужесточить приговор экс-вице-губернатору Петербурга Оганесяну;;;
2128063;Захарова сообщила, что рядом с контингентом США в Сирии образовался очаг джихадистов;;;
2128062;В Мурманской области приостановят прием пациентов в дневной стационар из-за коронавируса;;;
2128061;В Таиланде на фоне массовой вакцинации число заболевших COVID-19 превысило 200 тыс.;;;
2128060;Госдума одобрила в II чтении новые параметры демпфера, позволяющего снизить цены на бензин;;;
2128059;Четверо легкоатлетов из Чувашии дисквалифицированы за нарушение антидопинговых правил;;;
2128058;"""Хозяин своего завода"" Иван Лихачев: как создавалась автомобильная промышленность СССР";;;
2128057;Новая разрядка: легче не станет, но хоть рубль укрепится;;;
2128056;Дума во II чтении одобрила правила разглашения врачебной тайны после смерти пациента;;;
2128055;Кинокомпозиторы из восьми стран соберутся в творческой лаборатории в Москве;;;
2128054;Московские суды с 15 по 20 июня будут слушать дела в соответствии с расписанием;;;
2128053;Юрий Жирков больше не сыграет за сборную России на чемпионате Европы;;;
2128052;Рэпера T-Killah выписали из больницы после коронавируса;;;
2128051;Строительство и ремонт соцобъектов в Новосибирской области потребует 13 млрд рублей;;;
2128050;В Роскосмосе заявили, что в орбитальную группировку для экомониторинга войдут 14 спутников;;;
2128049;Дума приняла во II чтении проект об оказании первой помощи, в том числе с дефибриллятором;;;
2128048;Зеленский считает, что ж/д вокзалы на Украине надо передать в концессию;;;
2128047;Одинцово, Химки и Сергиев Посад вошли в число лидеров по госпитализациям с коронавирусом;;;
2128046;"АФК ""Система"" увеличит объем программы выкупа акций до 7 млрд рублей";;;
2128045;Инфекционист допустил введение локдауна в Москве;;;
2128044;В Москве к 3,5 года колонии приговорили хирурга, по вине которого пострадала пациентка;;;
2128043;"""Спартак"" и ЦСКА сыграют в восьмом туре Российской премьер-лиги";;;
2128042;В Алтайской крае отменили особый противопожарный режим;;;
2128041;В Волгограде открыли центр электронного медицинского образования;;;
2128040;Работников сгоревшей обогатительной фабрики в Кузбассе задействуют в ее восстановлении;;;
2128039;"Путин призвал сделать конкурс ""Учитель года"" зрелищным и захватывающим";;;
2128038;В Москве задержан мужчина, укравший из храма Евангелие;;;
2128037;Цена нефти Urals поднялась выше $70 за баррель впервые за два года;;;
2128036;Эксперт призвал ужесточить меры по ограничению контактов из-за COVID-19 в Москве;;;
2128035;Суд на Кубани отказал в обжаловании меры пресечения арестованному Андрею Пивоварову;;;
2128034;Суд оштрафовал отделение IKEA во Франции на €1 млн по делу о слежке за сотрудниками;;;
2128033;Источник: пресс-конференция Путина после переговоров с Байденом запланирована на 19:00 мск;;;
2128032;"Набиуллина: ряд участников рынка под обучающими проектами рекламирует ""мутные продукты""";;;
2128031;В Оринбуржье мошенники под видом правительства просят деньги на вакцинацию от коронавируса;;;
2128030;Суд отменил решения по иску главы Хакасии к журналисту Михаилу Леонтьеву;;;
2128029;Бритни Спирс показала свое любимое «скрытое от глаз» тату на теле;;;
2128028;На борьбу с лесными пожарами Магаданская область получит 13 млн рублей  из федерального бюджета;;;
2128027;Боец Ангелина Семенова вызвала Губерниева на бой после скандала с Бузовой;;;
2128026;Краснодарский суд отказался отпустить Андрея Пивоварова под домашний арест;;;
2128025;В Челябинске засохли более 500 новых деревьев и кустарников. Власти: это в пределах нормы;;;
2128024;Власти Кургана объяснили, почему не открывают ни один официальный пляж в городе;;;
2128023;Главред «Медиазоны» назвал заявление политтехнолога Шугалея доносом;;;
2128022;Более 600 кг польских яблок уничтожили в Петербурге;;;
2128021;Обрушилась крыша горящего в Челябинске крупного склада;;;
2128020;Путин запретил выдворять мигрантов из России до октября;;;
2128019;Петербургским спортсменам с инвалидностью нужна помощь в реализации уникального проекта — восхождения на высшую точку Урала;;;
2128018;В Медведково построят технологический центр;;;
2128017;Участок проспекта Энгельса в Петербурге на две недели останется без трамваев;;;
2128016;Аналитик ВШУФ: Российский рынок стал фиксировать прибыль, но это закономерно;;;
2128015;На Замшиной улице в Петербурге забил родник. Три жилых дома и детсад переведены на временную схему подачи воды;;;
2128014;В Омской области многодетный отец зарезал 15-летнюю падчерицу, ранил жену и себя;;;
2128013;«Герои так не делают». Бэтмену и Женщине-кошке запретили заниматься оральным сексом;;;
2128012;В России вводятся штрафы за неповиновение Росгвардии;;;
2128011;Об истязаниях 13-летнего отчимом в полицию Петербурга заявила мать. Доводом в «воспитании» был провод от удлинителя;;;
2128010;Вирусолог Скулачев усомнился в вероятности спада заболеваемости COVID-19 к концу июня;;;
2128009;Наш проект. Если дают — надо брать. Почему льготная ипотека актуальна для покупателей жилья;;;
